City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
Portland,90,US,1579838530,87,45.52,-122.68,54.0,11.41
Bredasdorp,81,ZA,1579838709,88,-34.53,20.04,66.0,4.7
Mataura,100,NZ,1579838711,42,-46.19,168.86,83.55,3.49
Isangel,75,VU,1579838712,58,-19.55,169.27,87.8,17.22
Fort Nelson,90,CA,1579838169,92,58.81,-122.7,14.0,3.36
Nikolskoye,90,RU,1579838716,94,59.7,30.79,36.0,13.42
Terrace,90,CA,1579838717,100,54.52,-128.6,33.8,2.24
Saskylakh,62,RU,1579838303,94,71.92,114.08,-34.92,14.12
Saint-Philippe,100,RE,1579838721,94,-21.36,55.77,78.8,6.93
Kapaa,90,US,1579838549,57,22.08,-159.32,78.8,6.93
George Town,20,MY,1579838724,52,5.41,100.34,89.6,6.93
Yagodnoye,100,RU,1579838725,96,62.55,149.67,-22.09,2.28
Antalaha,100,MG,1579838727,77,-14.9,50.28,81.28,4.14
Jamestown,90,US,1579838518,43,42.1,-79.24,39.0,5.82
Rikitea,0,PF,1579838730,77,-23.12,-134.97,79.27,14.99
Barrow,75,US,1579838732,82,71.29,-156.79,-16.6,9.17
Punta Arenas,20,CL,1579838733,70,-53.15,-70.92,46.0,9.17
Souillac,75,MU,1579838171,100,-20.52,57.52,77.0,10.29
Bantou,43,CN,1579838737,63,26.22,117.49,71.33,1.63
Ushuaia,100,AR,1579838682,95,-54.8,-68.3,34.7,3.6
Tomatlan,100,MX,1579838740,91,19.93,-105.25,66.52,1.54
Busselton,0,AU,1579838742,22,-33.65,115.33,88.0,7.36
Upernavik,0,GL,1579838743,58,72.79,-56.15,-8.14,4.68
Hermanus,39,ZA,1579838745,84,-34.42,19.23,66.0,11.01
Geraldton,0,AU,1579838747,29,-28.77,114.6,91.4,16.11
Butaritari,34,KI,1579838748,75,3.07,172.79,83.88,12.3
Lebu,35,CL,1579838264,84,-37.62,-73.65,55.96,6.38
Manono,100,CD,1579838752,96,-7.3,27.42,69.04,3.44
Hobart,40,AU,1579838631,32,-42.88,147.33,68.0,14.99
Umm Lajj,0,SA,1579838266,44,25.02,37.27,52.38,7.02
Phimai,15,TH,1579838757,62,15.22,102.49,98.01,5.82
Magalia,90,US,1579838758,87,39.81,-121.58,51.8,2.93
Okahandja,25,NA,1579838760,36,-21.98,16.92,64.4,1.12
Bambous Virieux,75,MU,1579838294,100,-20.34,57.76,77.0,10.29
Bac Lieu,62,VN,1579838667,52,9.29,105.72,86.4,13.2
Kaitangata,52,NZ,1579838765,72,-46.28,169.85,69.01,11.01
Bethel,5,US,1579838766,79,41.37,-73.41,36.0,2.24
Manitouwadge,100,CA,1579838768,91,49.12,-85.84,8.67,8.97
Bulgan,0,MN,1579838729,73,48.81,103.53,5.99,3.62
Westerville,90,US,1579838543,64,40.13,-82.93,41.0,4.7
Eugene,100,US,1579838584,95,44.05,-123.09,53.01,1.92
Midland,1,US,1579838570,50,32.0,-102.08,46.99,5.82
Whitehorse,90,CA,1579838223,85,60.72,-135.05,10.4,4.7
Ostrovnoy,100,RU,1579838454,90,68.05,39.51,8.31,7.14
Mahibadhoo,61,MV,1579838218,84,3.78,72.97,82.76,19.35
Praia,0,CV,1579838781,56,14.92,-23.51,71.6,8.05
Mahon,7,ES,1579838783,100,39.89,4.27,50.0,4.7
Fortuna,90,US,1579838393,82,40.6,-124.16,57.0,5.82
San Cristobal,40,VE,1579838292,88,7.77,-72.22,77.0,2.24
Lexington,90,US,1579838788,80,37.99,-84.48,43.0,8.05
Lagoa,99,PT,1579838789,62,39.05,-27.98,56.8,7.34
Arman,0,RU,1579838791,80,59.7,150.17,-11.16,7.18
Broome,1,US,1579838377,73,42.25,-75.83,33.01,3.51
Santa Maria,0,BR,1579838794,88,-29.68,-53.81,69.8,11.41
Kainantu,90,PG,1579838796,85,-6.29,145.87,72.09,4.0
Talara,54,PE,1579838797,86,-4.58,-81.27,73.33,9.37
Beloha,0,MG,1579838259,87,-25.17,45.05,67.98,10.16
Guadix,75,ES,1579838801,87,37.3,-3.14,45.0,1.12
Bluff,100,NZ,1579838802,36,-46.6,168.33,84.43,5.41
Berlevag,100,NO,1579838804,85,70.86,29.09,24.76,19.48
Shihezi,74,CN,1579838805,96,44.3,86.03,4.41,0.09
Cape Town,0,ZA,1579838807,77,-33.93,18.42,66.99,13.87
Tuktoyaktuk,75,CA,1579838213,76,69.45,-133.04,-9.4,10.29
Stepnyak,100,KZ,1579838810,83,52.83,70.78,30.22,25.39
Nishihara,40,JP,1579838812,73,26.18,127.76,77.0,5.82
Wagga Wagga,0,AU,1579838814,22,-35.12,147.37,79.0,10.29
Ulaanbaatar,0,MN,1579838591,70,47.91,106.88,-5.8,2.24
Srednekolymsk,100,RU,1579838817,98,67.45,153.68,-33.79,4.83
Ponta do Sol,20,PT,1579838818,58,32.67,-17.1,57.2,6.93
Atuona,1,PF,1579838820,75,-9.8,-139.03,81.25,11.72
Sergeevka,100,KZ,1579838822,96,53.88,67.42,22.8,4.45
Rzhaksa,0,RU,1579838823,94,52.13,42.03,8.89,8.93
Jalu,3,LY,1579838825,85,29.03,21.55,50.54,7.65
Mar del Plata,7,AR,1579838818,83,-38.0,-57.56,73.99,8.05
Birin,0,NP,1579838828,81,26.89,88.07,42.13,2.84
Gavardo,0,IT,1579838830,92,45.59,10.44,36.0,3.36
Tiksi,0,RU,1579838831,83,71.69,128.87,-30.3,5.3
Qaanaaq,0,GL,1579838833,57,77.48,-69.36,-13.2,7.63
Thompson,5,CA,1579838835,84,55.74,-97.86,5.0,5.82
Tasiilaq,100,GL,1579838836,56,65.61,-37.64,15.8,6.93
Pangnirtung,100,CA,1579838838,98,66.15,-65.71,-32.85,2.93
Wanning,56,CN,1579838244,71,18.8,110.4,75.9,9.04
Port Alfred,20,ZA,1579838841,96,-33.59,26.89,63.0,4.0
Nizhniy Lomov,0,RU,1579838843,94,53.53,43.68,9.37,9.22
Norman Wells,90,CA,1579838845,76,65.28,-126.83,-5.8,9.17
Saint George's,20,GD,1579838846,83,12.06,-61.75,78.8,8.05
Ilulissat,100,GL,1579838848,55,69.22,-51.1,10.4,18.34
Putina,100,PE,1579838849,72,-15.47,-69.43,50.67,8.12
Yellowknife,90,CA,1579838819,84,62.46,-114.35,1.4,11.41
Margate,99,GB,1579838477,93,51.38,1.39,44.01,3.36
Provideniya,96,RU,1579838854,77,64.38,-173.3,-2.2,4.47
Pahrump,20,US,1579838742,39,36.21,-115.98,53.01,2.42
Meadow Lake,1,US,1579838858,64,34.8,-106.54,44.6,8.05
Sitka,90,US,1579838859,93,57.05,-135.33,37.4,6.93
Itupiranga,98,BR,1579838861,100,-5.13,-49.33,78.8,3.36
Nome,1,US,1579838369,76,64.5,-165.41,-9.4,5.5
